datetime,pcs_power,solar_power,grid_power,dg_power,load_power,grid_import_power,grid_export_power,bess_discharge,bess_charge,bess_charge_grid,bess_charge_solar,load_demand_30min,grid_demand_30min,soc
2025-09-06 17:00:00,106.84066666666666,0.0,-20.25133333333333,0.0,127.06999999999998,20.978666666666662,0.7273333333333333,106.84066666666666,0.0,0.0,0.0,137.65333333333322,40.758,47.88333333333333
2025-09-06 18:00:00,-57.26433333333333,0.0,-172.78366666666665,0.0,115.42833333333333,172.78366666666665,0.0,0.0,57.26433333333333,57.26433333333333,0.0,121.1899999999999,176.50200000000004,44.15
2025-09-06 19:00:00,-61.58033333333333,0.0,-166.24433333333332,0.0,104.10666666666665,166.24433333333332,0.0,0.0,61.58033333333333,61.58033333333333,0.0,118.62666666666657,180.61066666666667,53.21666666666667
2025-09-06 20:00:00,-60.57599999999999,0.0,-144.85166666666666,0.0,83.87666666666667,144.85166666666666,0.0,0.0,60.57599999999999,60.57599999999999,0.0,90.92999999999991,152.316,62.0
2025-09-06 21:00:00,-59.46666666666666,0.0,-138.4343333333333,0.0,78.29333333333332,138.4343333333333,0.0,0.0,59.46666666666666,59.46666666666666,0.0,80.64666666666658,140.44533333333334,70.60000000000001
2025-09-06 22:00:00,-57.96033333333333,0.0,-148.63866666666667,0.0,90.31333333333333,148.63866666666667,0.0,0.0,57.96033333333333,57.96033333333333,0.0,98.28666666666658,156.59533333333334,79.03333333333333
2025-09-06 23:00:00,-56.15433333333333,0.0,-129.03799999999998,0.0,72.005,129.03799999999998,0.0,0.0,56.15433333333333,56.15433333333333,0.0,76.32999999999991,132.56666666666666,87.11666666666667
2025-09-07 00:00:00,-51.583999999999996,0.0,-139.03699999999998,0.0,86.78833333333333,139.03699999999998,0.0,0.0,51.583999999999996,51.583999999999996,0.0,89.78333333333323,143.66000000000003,94.86666666666667
2025-09-07 01:00:00,-8.809666666666667,0.0,-132.55133333333333,0.0,123.85333333333332,132.55133333333333,0.0,0.0,8.809666666666667,8.809666666666667,0.0,134.6899999999999,141.53333333333333,98.0
2025-09-07 02:00:00,-9.587666666666667,0.0,-126.19833333333332,0.0,116.61833333333333,126.19833333333332,0.0,0.0,9.587666666666667,9.587666666666667,0.0,126.59999999999991,132.7346666666667,98.43333333333334
2025-09-07 03:00:00,123.615,0.0,-10.554333333333334,0.0,135.515,10.943,0.3886666666666667,123.615,0.0,0.0,0.0,136.01666666666657,99.77733333333335,89.98333333333333
2025-09-07 04:00:00,146.02633333333333,8.657066666666665,0.10266666666666663,0.0,155.94333333333333,0.32166666666666666,0.4243333333333333,146.02633333333333,0.0,0.0,0.0,156.57666666666657,0.6433333333333427,65.58333333333333
2025-09-07 05:00:00,78.92533333333333,55.50396666666666,-21.453999999999997,0.0,157.18333333333334,21.453999999999997,0.0,78.92533333333333,0.0,0.0,0.0,164.02333333333323,42.908000000000015,45.53333333333333
2025-09-07 06:00:00,-59.85399999999999,114.69344999999998,-86.005,0.0,142.57666666666665,86.005,0.0,0.0,59.85399999999999,58.30233333333332,1.551666666666667,159.06666666666658,111.99000000000001,44.01666666666667
2025-09-07 07:00:00,-83.92133333333334,195.68054999999998,-40.334666666666664,0.0,154.81166666666667,40.334666666666664,0.0,0.0,83.92133333333334,43.05245,40.86888333333333,159.52333333333323,62.01600000000001,55.25
2025-09-07 08:00:00,-94.031,200.00761666666665,-18.63,0.0,131.60833333333335,21.57933333333333,2.9493333333333327,0.0,94.031,32.515050000000016,61.51594999999998,154.72333333333324,30.84666666666668,68.39999999999999
2025-09-07 09:00:00,-101.85333333333332,236.97976666666665,15.889666666666667,0.0,119.28999999999999,5.144666666666667,21.034333333333333,0.0,101.85333333333332,5.12996666666667,96.72336666666666,124.0699999999999,27.489333333333345,82.83333333333333
2025-09-07 10:00:00,-62.05566666666666,238.75404999999998,67.47166666666666,0.0,114.63333333333333,0.0,67.47166666666666,0.0,62.05566666666666,0.0,62.05566666666666,117.5699999999999,0.5173333333333426,95.43333333333334
2025-09-07 11:00:00,-0.39499999999999996,256.90096666666665,145.897,0.0,107.73666666666665,0.0,145.897,0.20366666666666666,0.5986666666666667,0.0,0.5986666666666667,117.33666666666657,-0.0,100.0
2025-09-07 12:00:00,-0.6326666666666667,199.85841666666664,90.179,0.0,108.46333333333332,0.0,90.179,0.0,0.6326666666666667,0.0,0.6326666666666667,108.87333333333324,-0.0,100.0
2025-09-07 13:00:00,-0.5266666666666666,143.91708333333332,29.655666666666665,0.0,114.01833333333333,0.0,29.655666666666665,0.0,0.5266666666666666,0.0,0.5266666666666666,114.85333333333324,-0.0,100.0
2025-09-07 14:00:00,-0.771,70.6557,-60.367999999999995,0.0,132.04833333333332,60.367999999999995,0.0,0.0,0.771,0.771,0.0,137.24333333333323,73.01933333333335,100.0
2025-09-07 15:00:00,83.47099999999999,26.129483333333333,-5.135666666666666,0.0,114.685,6.037,0.9013333333333333,83.47099999999999,0.0,0.0,0.0,123.6699999999999,55.052666666666674,92.14999999999999
2025-09-07 16:00:00,114.93199999999999,0.0,0.264,0.0,116.00333333333333,0.7966666666666666,1.0606666666666666,114.93199999999999,0.0,0.0,0.0,117.6699999999999,1.5933333333333428,73.95
2025-09-07 17:00:00,130.719,0.0,0.06833333333333325,0.0,131.41666666666666,0.7143333333333334,0.7826666666666666,130.719,0.0,0.0,0.0,134.81333333333325,1.8960000000000097,53.333333333333336
2025-09-07 18:00:00,-40.85033333333333,0.0,-151.73499999999999,0.0,110.88499999999999,151.73499999999999,0.0,4.440333333333333,45.29066666666667,45.29066666666667,0.0,133.47333333333324,166.53266666666667,44.06666666666666
2025-09-07 19:00:00,-53.94233333333333,0.0,-149.545,0.0,94.64833333333333,149.545,0.0,0.0,53.94233333333333,53.94233333333333,0.0,100.05666666666657,154.5446666666667,51.699999999999996
2025-09-07 20:00:00,-53.24633333333333,0.0,-146.78233333333333,0.0,93.24166666666667,146.78233333333333,0.0,0.0,53.24633333333333,53.24633333333333,0.0,98.5299999999999,152.29533333333333,59.36666666666667
2025-09-07 21:00:00,-52.37266666666667,0.0,-134.93366666666665,0.0,82.14333333333333,134.93366666666665,0.0,0.0,52.37266666666667,52.37266666666667,0.0,97.86666666666657,149.566,66.98333333333333
2025-09-07 22:00:00,-51.84266666666666,0.0,-132.97933333333333,0.0,80.28833333333333,132.97933333333333,0.0,0.0,51.84266666666666,51.84266666666666,0.0,83.86999999999989,136.6206666666667,74.26666666666667
2025-09-07 23:00:00,-50.54633333333333,0.0,-120.86833333333333,0.0,69.15833333333333,120.86833333333333,0.0,0.0,50.54633333333333,50.54633333333333,0.0,71.62666666666657,123.30333333333334,81.58333333333333
2025-09-08 00:00:00,-49.449999999999996,0.0,-143.71633333333332,0.0,94.08833333333332,143.71633333333332,0.0,0.0,49.449999999999996,49.449999999999996,0.0,99.64333333333325,148.44400000000005,88.53333333333335
2025-09-08 01:00:00,-45.785333333333334,0.0,-160.80066666666667,0.0,114.81833333333333,160.80066666666667,0.0,0.0,45.785333333333334,45.785333333333334,0.0,120.77999999999992,168.27066666666667,95.31666666666666
2025-09-08 02:00:00,-8.756666666666666,0.0,-120.94099999999999,0.0,112.095,120.94099999999999,0.0,0.0,8.756666666666666,8.756666666666666,0.0,116.53333333333325,145.18533333333335,98.0
2025-09-08 03:00:00,-8.908666666666665,0.0,-143.36333333333334,0.0,135.19333333333333,143.36333333333334,0.0,0.0,8.908666666666665,8.908666666666665,0.0,140.03333333333325,147.484,98.46666666666665
2025-09-08 04:00:00,141.11233333333334,7.898533333333333,-12.482666666666667,0.0,162.94666666666666,13.549333333333333,1.0666666666666667,141.11233333333334,0.0,0.0,0.0,167.3099999999999,125.99,88.14999999999999
2025-09-08 05:00:00,95.44266666666667,59.043366666666664,-0.735,0.0,156.66833333333332,0.9316666666666666,0.19666666666666666,95.44266666666667,0.0,0.0,0.0,159.89999999999992,1.8633333333333333,66.65
2025-09-08 06:00:00,1.3136666666666672,125.73173333333332,-33.507999999999996,0.0,158.62333333333333,33.507999999999996,0.0,5.347666666666667,4.034,4.034,0.0,169.3999999999999,38.77666666666667,58.050000000000004
2025-09-08 07:00:00,-21.520666666666667,185.05303333333333,-9.634999999999998,0.0,174.17833333333334,9.804666666666666,0.16966666666666666,0.0,21.520666666666667,9.733150000000009,11.787516666666656,177.25333333333325,21.444,59.51666666666667
2025-09-08 08:00:00,-87.83033333333333,237.85993333333332,18.122,0.0,117.27833333333332,0.0,18.122,0.0,87.83033333333333,0.0,87.83033333333333,160.84333333333325,5.0906666666666665,65.71666666666667
2025-09-08 09:00:00,-64.276,265.36513333333335,40.327,0.0,121.52499999999999,0.0,40.327,0.0,64.276,0.0,64.276,122.57999999999988,-0.0,79.10000000000001
2025-09-08 10:00:00,-72.94833333333332,260.05944999999997,52.95066666666666,0.0,116.12333333333333,0.0,52.95066666666666,0.0,72.94833333333332,0.0,72.94833333333332,131.96666666666658,-0.0,86.66666666666667
2025-09-08 11:00:00,-9.004999999999999,218.33811666666665,108.56866666666666,0.0,93.45,0.0,108.56866666666666,0.0,9.004999999999999,0.0,9.004999999999999,111.37999999999992,-0.0,81.08333333333333
2025-09-08 12:00:00,-1.0926666666666667,186.09453333333332,64.455,0.0,112.26999999999998,0.0,64.455,0.0,1.0926666666666667,0.0,1.0926666666666667,125.9799999999999,-0.0,83.33333333333333
2025-09-08 13:00:00,-0.4223333333333333,141.02633333333333,10.662333333333333,0.0,119.835,1.4693333333333332,12.131666666666666,0.0,0.4223333333333333,0.0,0.4223333333333333,135.5699999999999,2.9386666666666663,88.33333333333333
2025-09-08 14:00:00,-0.2746666666666666,77.07746666666667,-44.135,0.0,105.71,44.135,0.0,0.0,0.2746666666666666,0.2746666666666666,0.0,119.39333333333325,58.31933333333334,83.33333333333333
2025-09-08 15:00:00,89.95533333333333,21.670933333333334,-11.079999999999998,0.0,110.11666666666666,20.86333333333333,9.783333333333333,89.95533333333333,0.0,0.0,0.0,123.09999999999991,49.80133333333333,76.16666666666667
2025-09-08 16:00:00,113.80033333333333,0.0,-22.073999999999998,0.0,132.88,29.376666666666665,7.302666666666667,113.80033333333333,0.0,0.0,0.0,145.24333333333323,56.086666666666666,69.43333333333332
2025-09-08 17:00:00,75.40533333333333,0.0,-41.62833333333333,0.0,105.78,53.675666666666665,12.047333333333333,77.54766666666666,2.142333333333333,2.142333333333333,0.0,112.00666666666656,82.75866666666666,50.93333333333334
2025-09-08 18:00:00,0.9450000000000002,0.0,-110.18833333333333,0.0,108.05,110.18833333333333,0.0,4.638,3.6929999999999996,3.6929999999999996,0.0,115.57666666666655,116.53133333333334,45.11666666666667
2025-09-08 19:00:00,-5.0809999999999995,0.0,-96.97733333333332,0.0,95.17,96.97733333333332,0.0,0.0,5.0809999999999995,5.0809999999999995,0.0,101.92666666666658,112.552,45.5
2025-09-08 20:00:00,-39.77333333333333,0.0,-117.83933333333331,0.0,69.41833333333332,117.83933333333331,0.0,0.0,39.77333333333333,39.77333333333333,0.0,82.26666666666658,130.21733333333336,45.43333333333334
2025-09-08 21:00:00,-46.74633333333333,0.0,-121.167,0.0,68.32166666666666,121.167,0.0,0.0,46.74633333333333,46.74633333333333,0.0,77.31666666666656,132.56066666666666,53.666666666666664
2025-09-08 22:00:00,-53.21766666666666,0.0,-140.31866666666667,0.0,73.60499999999999,140.31866666666667,0.0,0.0,53.21766666666666,53.21766666666666,0.0,84.88999999999989,154.80666666666667,57.15
2025-09-08 23:00:00,-49.13533333333333,0.0,-120.60833333333332,0.0,67.71833333333333,120.60833333333332,0.0,0.0,49.13533333333333,49.13533333333333,0.0,69.06333333333323,132.39000000000001,68.63333333333334
2025-09-09 00:00:00,-45.39566666666666,0.0,-114.22466666666666,0.0,75.16333333333333,114.22466666666666,0.0,0.0,45.39566666666666,45.39566666666666,0.0,81.24333333333324,135.69799999999998,75.75
2025-09-09 01:00:00,-53.29533333333333,0.0,-161.25166666666667,0.0,111.38666666666667,161.25166666666667,0.0,0.0,53.29533333333333,53.29533333333333,0.0,115.17999999999991,166.12133333333333,80.26666666666667
